Timestamp,Open,High,Low,Close,Volume,FactorValue,CumReturn
2025-08-26,236.3699951171875,238.8300018310547,235.72999572753906,238.72000122070312,9793100,0.03742430683571435,0
2025-08-27,236.8699951171875,239.39999389648438,235.44000244140625,239.2899932861328,9516400,0.3360567813313514,0.0011904761904761904
2025-08-28,236.3000030517578,240.66000366210938,236,238.27000427246094,8466200,0.3829815307217283,0.0023809523809523807
2025-08-29,235.83999633789062,235.9499969482422,230.5800018310547,230.8699951171875,15526000,0.6929166569715695,0.003571428571428571
2025-09-02,226.14999389648438,229.33999633789062,225.6300048828125,228.38999938964844,13974900,0.7185925228200357,0.0047619047619047615
2025-09-03,231.52000427246094,232.4499969482422,228.60000610351562,231.38999938964844,7198500,0.6155635599118033,0.005952380952380952
2025-09-04,231.35000610351562,235.30999755859375,230.3000030517578,235.2100067138672,6241900,0.96116950658379,0.007142857142857142
2025-09-05,240.24000549316406,244.5500030517578,237.89999389648438,243.41000366210938,14056600,1.1955225641276797,0.008333333333333333
2025-09-08,241.99000549316406,247.8800048828125,241.6199951171875,247.19000244140625,12986600,0.7662510904343679,0.009523809523809523
2025-09-09,246.92999267578125,254.72999572753906,246.92999267578125,250.9199981689453,13443400,1.128260110805848,0.010714285714285713
2025-09-10,258.8699951171875,264.5799865722656,257.75,260.44000244140625,18822400,0.8882987426709934,0.011904761904761904
2025-09-11,260.3500061035156,261.6400146484375,258.2300109863281,258.9100036621094,10005000,0.6822332286446067,0.013095238095238094
2025-09-12,260.8500061035156,260.95001220703125,258.3800048828125,259.3299865722656,8496600,0.5553749787254738,0.014285714285714284
2025-09-15,260,262.79998779296875,258.75,261.3800048828125,8147700,0.3052003596054246,0.015476190476190475
2025-09-16,265.9200134277344,266.44000244140625,260.6099853515625,262.05999755859375,10381900,0.14704480889952365,0.016666666666666666
2025-09-17,264.3399963378906,264.80999755859375,259.7300109863281,262.7900085449219,10422000,0.1628515314683354,0.017857142857142856
2025-09-18,258,270.5400085449219,257.9800109863281,268.6400146484375,16917300,-0.11023294814304148,0.019047619047619046
2025-09-19,266.3699951171875,266.57000732421875,262.80999755859375,264.8699951171875,17640200,-0.31765573972506533,0.020238095238095236
2025-09-22,266.5400085449219,276.3599853515625,265.45001220703125,272.6300048828125,15630300,-0.39815330704028457,0.021428571428571425
2025-09-23,282.3999938964844,286,280,282.7099914550781,17830300,-0.41221364529773313,0.02261904761904762
