Timestamp,AssetPrice,FactorValue,Position,Volatility,CumReturn,Drawdown
2025-02-26,131.24411010742188,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.004554829207919164,0.0
2025-02-27,120.11714935302734,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.009130404884951648,0.0
2025-02-28,124.88583374023438,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.013726821527720867,0.0
2025-03-03,114.02880859375,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.018344174063266383,0.0
2025-03-04,115.95829010009766,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.022982557851004115,0.0
2025-03-05,117.26792907714844,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.027642068684695653,0.0
2025-03-06,110.53976440429688,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.03232280279442712,0.0
2025-03-07,112.65919494628906,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.037024856848596244,0.0
2025-03-10,106.95075225830078,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.041748327955908326,0.0
2025-03-11,108.73025512695312,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.04649331366738285,0.0
2025-03-12,115.718994140625,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.05125991197836721,0.0
2025-03-13,115.55902862548828,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.056048221330560866,0.0
2025-03-14,121.64791870117188,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.06085834061404838,0.0
2025-03-17,119.50830841064453,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.06569036916934201,0.0
2025-03-18,115.4090576171875,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.07054440678943275,0.0
2025-03-19,117.49867248535156,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.07542055372185175,0.0
2025-03-20,118.50848388671875,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.0803189106707407,0.0
2025-03-21,117.67863464355469,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.08523957879893129,0.0
2025-03-24,121.38796997070312,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.09018265973003459,0.0
2025-03-25,120.66809844970703,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.09514825555053985,0.0
2025-03-26,113.7393569946289,0.2788988515676356,0.2788988515676356,0.6874988884283488,0.10013646881192306,0.0
2025-03-27,111.40978240966797,0.2788988515676356,0.2788988515676356,0.6251074943372577,0.10514740253276456,0.0
2025-03-28,109.65010070800781,0.2788988515676356,0.2788988515676356,0.6055516626874393,0.11018116020087687,0.0
2025-03-31,108.3603286743164,0.2788988515676356,0.2788988515676356,0.5254258862115828,0.1152378457754415,0.0
2025-04-01,110.13001251220703,0.41522207632437386,0.41522207632437386,0.5251480453285814,0.12031756368915625,0.0
2025-04-02,110.39995574951172,0.43749132001651825,0.43749132001651825,0.5231010168871496,0.12145778287341757,0.0
2025-04-03,101.78153228759766,0.5708701018669774,0.5708701018669774,0.556012069854421,0.08315667820314765,-0.03415296166756643
2025-04-04,94.29288482666016,0.804471505037701,0.804471505037701,0.6013988266069419,0.037661750281717365,-0.07472063047883681
2025-04-07,97.62227630615234,0.9542036482886116,0.9542036482886116,0.598239697922598,0.06713665534016555,-0.0484379602717363
2025-04-08,96.28252410888672,1.153895074558383,1.0,0.5941290097559533,0.05316214309910827,-0.0608989841769354
2025-04-09,114.30925750732422,1.0404913016207666,1.0,0.8778770967664822,0.2503430266985487,0.0
2025-04-10,107.55047607421875,0.8971428773817529,0.8971428773817529,0.9033073627671063,0.1764137980591136,-0.059127157156736776
2025-04-11,110.90986633300781,0.5657679446357136,0.5657679446357136,0.8891377310178769,0.20938007059037056,-0.0327613744656442
2025-04-14,110.68990325927734,0.2965068728549382,0.2965068728549382,0.8875123181299026,0.2080230677927688,-0.0338466788730154
